States,StateNo.,Year,MMR,Medical,Non.Medical,Any.Exemption,Pop,MedAge,P_White,P_HS,P_BS,MedInc,P_UnInsured,P_Mar,P_BelPov,PerCapHealth,P_ChilNoIns,P_NoCov,P_PrivIns,P_NoPrev,P_LivRur,AveLagMMR,LagMMR11,LagMMR12,LagMMR13,LagMMR14,LagMMR15,LagMed11,LagMed12,LagMed13,LagMed14,LagMed15,LagNMed11,LagNMed12,LagNMed13,LagNMed14,LagNMed15
Virginia,47,2011,93,0.3,0.8,1,8310301,37.8,68.75,88.6,36.9,66149,10.7,50,8.1,7556,5.3,10.8,69.1,13.4,14.2,93.66,93,93.1,93.1,93.4,95.7,0.3,0.1,0.2,0.3,0.3,0.8,0.4,0.4,0.8,0.9
Washington,48,2011,91.8,0.5,4.2,4.7,7073146,37.6,77.34,90.6,33.6,62848,9.8,50.6,8.4,7913,3.6,6.8,64.8,17.1,14.9,90.72,91.8,91.7,89.7,89.4,91,0.5,1.2,1.2,1.2,1,4.2,3.5,3.6,3.5,3.6
West Virginia,49,2011,92,0.2,NA,0.2,1846092,41.9,93.46,85.3,19.6,42644,9.6,50,12.9,9462,4.2,9.6,53,11.3,52,95.44,92,96.3,96.1,97.6,95.2,0.2,1.2,0.2,0.2,0.2,NA,NA,NA,NA,NA
Wisconsin,50,2011,93.1,0.4,4.1,4.5,5754798,39.1,86.21,91.4,28.4,54610,7.2,50.7,8.5,8702,1.6,4.6,64,14.4,29.9,92.66,93.1,92.8,92.6,91.6,93.2,0.4,0.5,0.1,0.4,0.3,4.1,4,4.8,4.9,2.9
Wyoming,51,2011,NA,NA,NA,NA,583029,36.8,91.22,92.4,26,59143,12.8,53.2,7.6,8320,5.9,12,63.8,19.4,72.9,97.07,NA,97.5,NA,96.8,96.9,NA,0.3,NA,NA,NA,NA,1.9,NA,NA,NA
Alabama,1,2012,92.8,0.1,0.6,0.7,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
Alaska,2,2012,NA,1.6,4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,3,2012,94.5,0.3,3.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,4,2012,85.9,0.1,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,5,2012,92.7,0.2,2.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,6,2012,85.7,0.3,4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
